Moment,M1,M1a,M2,M3,M4
std(y),3.07,3.07,3.08,3.08,3.07
std(c),2.35,2.35,2.71,2.68,1.91
std(i),9.1,9.1,9.04,9.04,9.1
std(h),2.11,2.11,2.12,2.12,2.11
std(tb/y),1.55,1.55,1.78,1.76,1.58
std(ca/y),1.46,1.46,1.45,1.45,
corr(c,y),0.94,0.94,0.84,0.85,1.0
corr(i,y),0.66,0.66,0.67,0.67,0.66
corr(h,y),1.0,1.0,1.0,1.0,1.0
corr(tb/y,y),-0.02,-0.01,-0.04,-0.04,0.13
corr(ca/y,y),0.03,0.03,0.05,0.05,
autocorr(y),0.61,0.61,0.62,0.62,0.61
autocorr(c),0.7,0.7,0.78,0.78,0.61
autocorr(i),0.07,0.07,0.07,0.07,0.07
autocorr(h),0.61,0.61,0.62,0.62,0.61
autocorr(tb/y),0.32,0.32,0.51,0.5,0.39
autocorr(ca/y),0.3,0.3,0.32,0.32,
